Memento_Count,URI_Count
3,58
0,533
20,2
13,7
4,38
5,26
2,62
60,1
1,95
7,23
6,27
45,2
115,1
61,1
28,3
33,1
74,1
10,4
11,10
26,1
17,3
21,5
9,6
172,1
3996,1
38,1
14,4
27,3
51,1
12,4
31,2
8,9
1403,1
8716,1
16,9
40,1
279,1
79,1
50,1
18,3
43,1
81183,1
104,1
238,1
160,1
822,1
36,2
41,2
15,4
55,1
39,1
2691,1
29,2
2262,1
23,2
100,1
93,2
175,1
223,1
53,3
101,1
217,1
128,1
8622,1
119,1
2321,1
31735,1
63,1
69,1
665,1
13961,1
19,1
42,1
23315,1
35,1
22,1
